Ticket_ID,Ticket_Date,Department,Issue_Type,Channel,Location,Priority,Status,Agent,Resolution_Hours,SLA_Hours,SLA_Breach,CSAT,Root_Cause,Business_Impact,Users_Affected,AI_Priority_Score,AI_Predicted_Priority,AI_Confidence
1,2025-10-11 00:00:00,IT Support,VPN Access,Phone,Indore,Medium,Escalated,Agent_11,10.6,24,0,4,User Error,Low,55,43.3,Medium,0.68
2,2026-06-14 00:00:00,Operations,Cloud Access,Email,Bhopal,Low,Resolved,Agent_10,1.9,48,0,4,Configuration,High,2,28.9,Low,0.85
3,2026-03-28 00:00:00,HR,Wi-Fi Issue,Teams,Indore,Medium,Resolved,Agent_13,9.3,24,0,5,Hardware,Low,12,40.2,Medium,0.7
4,2025-10-15 00:00:00,Sales,Application Error,Phone,Indore,Medium,Resolved,Agent_02,5.3,24,0,4,Security Policy,Low,15,43.2,Medium,0.72
5,2025-09-10 00:00:00,Sales,VPN Access,Phone,Gurugram,Medium,Resolved,Agent_08,8,24,0,5,User Error,High,8,55.7,High,0.68
6,2026-01-05 00:00:00,Network Operations,Application Error,Phone,Delhi,Medium,Resolved,Agent_04,10.3,24,0,4,User Error,High,8,61.5,High,0.82
7,2025-07-21 00:00:00,HR,Network Connectivity,Phone,Bhopal,Critical,Resolved,Agent_08,2.7,4,0,3,Access Control,Medium,57,95.7,Critical,0.99
8,2025-10-11 00:00:00,Sales,Password Reset,Phone,Indore,Medium,Escalated,Agent_11,6.2,24,0,5,User Error,High,1,53.7,Medium,0.68
9,2025-10-30 00:00:00,Cybersecurity,Cloud Access,Portal,Indore,Medium,Resolved,Agent_12,1.1,24,0,5,Software Bug,High,7,54.3,Medium,0.74
10,2026-01-31 00:00:00,IT Support,Security Alert,Portal,Delhi,Low,Resolved,Agent_05,6.9,48,0,4,User Error,Medium,17,45.2,Medium,0.79
11,2026-05-27 00:00:00,Sales,Email Issue,portal,Mumbai,Medium,Escalated,Agent_03,11.9,24,0,4,Network Congestion,Medium,14,55.2,High,0.71
12,2025-09-26 00:00:00,HR,Password Reset,Phone,Mumbai,Medium,In Progress,Agent_06,3.9,24,0,4,Software Bug,Medium,3,44.6,Medium,0.66
13,2025-10-08 00:00:00,Engineering,Password Reset,Email,Delhi,Low,Resolved,Agent_11,12.8,48,0,4,Hardware,Low,13,18.9,Low,0.99
14,2026-06-25 00:00:00,Network Operations,Application Error,Teams,Bengaluru,Medium,Closed,Agent_05,18.5,24,0,4,Configuration,High,14,50.2,Medium,0.64
15,2025-11-29 00:00:00,Finance,VPN Access,Phone,Bhopal,Medium,Resolved,Agent_01,3.1,24,0,4,Network Congestion,Medium,10,55.1,High,0.69
16,2025-11-08 00:00:00,Cybersecurity,Wi-Fi Issue,Email,Delhi,Medium,Escalated,Agent_10,2.2,24,0,4,Software Bug,High,6,61.2,High,0.79
17,2025-11-27 00:00:00,Sales,Password Reset,Portal,Gurugram,Critical,In Progress,Agent_06,1.5,4,0,4,Unknown,Low,104,100,Critical,0.99
18,2026-05-05 00:00:00,Network Operations,Network Connectivity,Phone,Delhi,High,Resolved,Agent_15,1,8,0,5,User Error,Low,18,67.8,High,0.8
19,2026-03-15 00:00:00,Engineering,VPN Access,Email,Delhi,High,Resolved,Agent_08,7,8,0,4,Hardware,Low,29,63.9,High,0.85
20,2026-06-09 00:00:00,Operations,Endpoint Performance,Portal,Gurugram,High,Escalated,Agent_05,2.6,8,0,5,Security Policy,Low,32,67.5,High,0.85
21,2026-04-20 00:00:00,Engineering,Security Alert,Teams,Bhopal,Medium,Resolved,Agent_01,8,24,0,3,Software Bug,Medium,6,69.5,High,0.8
22,2026-01-08 00:00:00,HR,Cloud Access,Email,Bhopal,High,Resolved,Agent_15,2.1,8,0,5,Configuration,Low,19,70.9,High,0.98
23,2026-04-03 00:00:00,Network Operations,Security Alert,Portal,Pune,High,Resolved,Agent_12,1,8,0,4,Unknown,High,12,92.6,Critical,0.99
24,2025-12-08 00:00:00,Engineering,Email Issue,Teams,Indore,Low,Escalated,Agent_06,4.8,48,0,5,Security Policy,Medium,28,38.9,Medium,0.78
25,2026-05-10 00:00:00,Engineering,Application Error,Email,Mumbai,Medium,Escalated,Agent_01,1.4,24,0,5,Security Policy,Low,4,44.9,Medium,0.62
26,2025-07-22 00:00:00,Network Operations,Security Alert,Portal,Indore,Medium,Closed,Agent_07,8.3,24,0,4,Hardware,Low,35,57.3,High,0.74
27,2026-03-10 00:00:00,Engineering,Endpoint Performance,Portal,Delhi,High,Closed,Agent_01,3.9,8,0,5,Configuration,High,23,85.5,Critical,0.99
28,2026-02-21 00:00:00,HR,VPN Access,Portal,Bengaluru,High,Resolved,Agent_03,3.2,8,0,4,Security Policy,Medium,11,63.6,High,0.79
29,2026-06-10 00:00:00,Operations,Network Connectivity,Phone,Delhi,High,Resolved,Agent_12,2.1,8,0,3,Unknown,Medium,31,76.3,Critical,0.94
30,2025-08-18 00:00:00,HR,Password Reset,Phone,Indore,Critical,In Progress,Agent_01,2.7,4,0,4,Access Control,High,118,100,Critical,0.99
31,2025-08-28 00:00:00,IT Support,Network Connectivity,Teams,Gurugram,Critical,In Progress,Agent_09,4.6,4,1,3,User Error,Low,40,87.4,Critical,0.99
32,2025-12-17 00:00:00,Network Operations,Password Reset,Email,Mumbai,High,Closed,Agent_04,15.4,8,1,3,Configuration,Low,46,67.8,High,0.8
33,2026-01-04 00:00:00,Network Operations,Cloud Access,Teams,Mumbai,Medium,In Progress,Agent_15,6.5,24,0,5,Network Congestion,Medium,6,57.4,High,0.78
34,2026-03-28 00:00:00,Sales,Email Issue,Portal,Pune,Medium,Escalated,Agent_05,27.9,24,1,3,Unknown,High,29,60.5,High,0.75
35,2026-01-06 00:00:00,Network Operations,Security Alert,Email,Bengaluru,High,In Progress,Agent_09,8.5,8,1,2,Software Bug,Low,27,75.8,Critical,0.99
36,2025-12-22 00:00:00,Finance,Wi-Fi Issue,Portal,Pune,High,Resolved,Agent_03,3.6,8,0,4,Unknown,Medium,17,68.2,High,0.82
37,2025-08-20 00:00:00,Finance,Wi-Fi Issue,Email,Mumbai,High,Resolved,Agent_15,5.4,8,0,5,Hardware,High,15,86.7,Critical,0.99
38,2026-06-29 00:00:00,Network Operations,Endpoint Performance,Email,Mumbai,Medium,Resolved,Agent_10,6.8,24,0,5,Software Bug,Medium,55,56.7,High,0.71
39,2025-08-24 00:00:00,HR,Security Alert,Phone,Gurugram,High,Resolved,Agent_07,3.1,8,0,5,Network Congestion,Low,37,75,Critical,0.83
40,2026-03-01 00:00:00,IT Support,Network Connectivity,Phone,Delhi,Medium,Resolved,Agent_12,3.8,24,0,3,Unknown,Low,15,38.2,Medium,0.85
41,2026-05-16 00:00:00,Operations,Wi-Fi Issue,Email,Bhopal,Low,Escalated,Agent_09,1.8,48,0,4,Configuration,Low,1,16.6,Low,0.98
